@relation 'processed-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last'

@attribute 0.333payload_len7+0.332packet_len7-0.307dip+0.295payload_len6+0.293packet_len6... {'\'(-inf--8.127401]\'','\'(-8.127401--6.927967]\'','\'(-6.927967--5.728533]\'','\'(-5.728533--4.5291]\'','\'(-4.5291--3.329666]\'','\'(-3.329666--2.130232]\'','\'(-2.130232--0.930798]\'','\'(-0.930798-0.268636]\'','\'(0.268636-1.46807]\'','\'(1.46807-inf)\''}
'\'(-0.930798-0.268636]\'','\'(-0.314282-0.556742]\'','\'(-1.963701--1.262494]\'','\'(1.020067-1.688937]\'','\'(0.728282-1.610388]\'','\'(-1.311444--0.399814]\'','\'(-0.387205-0.277208]\'','\'(-1.78952--1.077678]\'','\'(-0.128751-0.52324]\'','\'(-1.208009--0.900404]\'','\'(-1.036413--0.654567]\'',0
'\'(-0.930798-0.268636]\'','\'(-1.185306--0.314282]\'','\'(-1.963701--1.262494]\'','\'(1.688937-inf)\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-1.051618--0.387205]\'','\'(1.05785-1.769693]\'','\'(-0.128751-0.52324]\'','\'(-1.208009--0.900404]\'','\'(-0.654567--0.272721]\'',1412
'\'(-0.930798-0.268636]\'','\'(-1.185306--0.314282]\'','\'(-1.963701--1.262494]\'','\'(1.688937-inf)\'','\'(-0.153824-0.728282]\'','\'(0.511815-1.423445]\'','\'(-0.387205-0.277208]\'','\'(1.05785-1.769693]\'','\'(-0.128751-0.52324]\'','\'(0.637623-0.945229]\'','\'(-0.272721-0.109126]\'',1440
'\'(-0.930798-0.268636]\'','\'(-1.185306--0.314282]\'','\'(-1.963701--1.262494]\'','\'(1.688937-inf)\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-1.051618--0.387205]\'','\'(1.05785-1.769693]\'','\'(0.52324-1.175232]\'','\'(-0.900404--0.592798]\'','\'(-0.654567--0.272721]\'',1412
'\'(-0.930798-0.268636]\'','\'(-2.05633--1.185306]\'','\'(-1.262494--0.561287]\'','\'(1.688937-inf)\'','\'(-1.03593--0.153824]\'','\'(-0.399814-0.511815]\'','\'(-1.051618--0.387205]\'','\'(-0.365835-0.346007]\'','\'(-0.128751-0.52324]\'','\'(-1.208009--0.900404]\'','\'(-0.272721-0.109126]\'',337
'\'(-2.130232--0.930798]\'','\'(-2.05633--1.185306]\'','\'(-1.262494--0.561287]\'','\'(1.020067-1.688937]\'','\'(-2.800142--1.918036]\'','\'(-1.311444--0.399814]\'','\'(-1.051618--0.387205]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(-0.900404--0.592798]\'','\'(-0.272721-0.109126]\'',336
'\'(-0.930798-0.268636]\'','\'(-1.185306--0.314282]\'','\'(-0.561287-0.13992]\'','\'(1.688937-inf)\'','\'(-1.918036--1.03593]\'','\'(-1.311444--0.399814]\'','\'(-1.051618--0.387205]\'','\'(1.05785-1.769693]\'','\'(-0.780743--0.128751]\'','\'(0.637623-0.945229]\'','\'(0.490972-0.872818]\'',334
'\'(1.46807-inf)\'','\'(-1.185306--0.314282]\'','\'(-1.963701--1.262494]\'','\'(-3.662022--2.993152]\'','\'(-0.153824-0.728282]\'','\'(0.511815-1.423445]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-inf--0.780743]\'','\'(0.022413-0.330018]\'','\'(1.254664-1.636511]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.128751-0.52324]\'','\'(-0.592798--0.285193]\'','\'(-0.272721-0.109126]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-1.03593--0.153824]\'','\'(-1.311444--0.399814]\'','\'(-1.051618--0.387205]\'','\'(-0.365835-0.346007]\'','\'(-0.128751-0.52324]\'','\'(-inf--1.208009]\'','\'(-0.654567--0.272721]\'',0
