@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20140417.0826,27,15,8,7,0,53.333333,46.666667,0,0.375,0.085138,0.243685,73.969121,104.908377,38.049686,72.858308,-34.808622,2.536646,4.857221,-2.320575,10.952183,0.730146,405.174425,0.666667,6,0,0,1,6,0.333333,3,1,0.666667,0.8,0.814815,0.533333,0.004762,0.995238,0.466667,0.7,0.533333,0.591111,0.84127,0,0.001,0,0,90597,28571,24959,?,?,?
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,29,13,10,3,0,76.923077,23.076923,0,0.35,0.08526,0.184238,76.805833,83.963894,29.416828,20.709174,8.707654,2.262833,1.593013,0.66982,10.646207,0.818939,382.239005,1,9,0.75,3,0.25,1,0,0,0.75,1,0.857143,0.875,0.769231,0.519231,0.480769,0.230769,0.596154,0.769231,0.67033,0.865385,0.673,0.001,0.65,0,405950,29173,24357,?,1.554404,1
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,28,14,10,4,0,71.428571,28.571429,0,0.356322,0.08054,0.195977,71.02738,86.430335,34.275646,25.489395,8.78625,2.44826,1.820671,0.627589,9.857632,0.704117,360.387029,1,9,0.6,3,0.4,2,0,0,0.75,1,0.857143,0.833333,0.714286,0.385714,0.614286,0.285714,0.553571,0.714286,0.622449,0.769231,0.582,0,0.57,0,396612,28872,24658,?,1.381693,1
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,30,12,11,1,0,91.666667,8.333333,0,0.636364,0.024787,0.102601,23.497531,51.171231,21.008559,6.412601,14.595958,1.750713,0.534383,1.21633,14.595958,1.21633,499.764612,1,10,0.5,1,0.5,1,0,0,0.909091,1,0.952381,1,0.916667,0.416667,0.583333,0.083333,0.840909,0.916667,0.876984,1,0.581,0,0.57,0,415684,29474,24056,?,2.072539,2
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,27,15,11,4,0,73.333333,26.666667,0,0.423077,0.045365,0.185146,39.511549,80.081856,36.879761,22.329004,14.550757,2.458651,1.4886,0.97005,16.428503,1.095234,600.675535,1,9,0.666667,4,0.333333,2,0,0,0.692308,1,0.818182,1,0.733333,0.4,0.6,0.266667,0.548718,0.733333,0.624242,0.971429,0.578,0,0.57,0,388066,28571,24959,?,1.727116,3
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,28,14,9,5,0,64.285714,35.714286,0,0,0.152778,0.276385,135.444151,122.982641,32.105721,50.189475,-18.083754,2.293266,3.584963,-1.291697,-2.721815,-0.194415,-97.721056,1,9,1,5,0,0,0,0,0.642857,1,0.782609,0.5,0.642857,0.642857,0.357143,0.357143,0.413265,0.642857,0.503106,0.5,0.531,0,0.52,0,396046,28872,24658,?,0,0
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,30,12,10,2,0,83.333333,16.666667,0,0.454545,0.027771,0.166398,25.760267,79.301187,23.476461,23.705732,-0.22927,1.956372,1.975478,-0.019106,13.587411,1.132284,476.485734,1,9,0.666667,2,0.333333,1,0,0,0.818182,1,0.9,1,0.833333,0.5,0.5,0.166667,0.69697,0.833333,0.758333,0.992424,0.674,0,0.6,0,418852,29474,24056,?,2.072539,10
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,24,18,10,8,0,55.555556,44.444444,0,0,0.152778,0.276385,130.549451,116.057691,47.189475,64.529325,-17.33985,2.621638,3.584963,-0.963325,-0.234916,-0.013051,-8.78157,1,10,1,8,0,0,0,0,0.555556,1,0.714286,0.5,0.555556,0.555556,0.444444,0.444444,0.308642,0.555556,0.396825,0.5,0.461,0,0.46,0,358694,27668,25862,?,0,0
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,27,15,10,5,0,66.666667,33.333333,0,0.234694,0.081399,0.21447,70.72061,92.330998,38.049686,31.386223,6.663463,2.536646,2.092415,0.444231,8.526435,0.568429,315.434244,1,9,0.833333,5,0.166667,1,0,0,0.642857,1,0.782609,0.583333,0.666667,0.5,0.5,0.333333,0.452381,0.666667,0.536232,0.595238,0.52,0,0.5,0,387274,28571,24959,?,1.381693,1
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,29,13,10,3,0,76.923077,23.076923,0,0.35,0.070754,0.183115,63.918169,83.81144,28.416828,20.455767,7.961061,2.18591,1.573521,0.612389,8.975678,0.690437,320.144381,1,9,0.75,3,0.25,1,0,0,0.75,1,0.857143,0.625,0.769231,0.519231,0.480769,0.230769,0.596154,0.769231,0.67033,0.634615,0.552,0,0.54,0,405950,29173,24357,?,1.727116,1
processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20140417.0826,27,15,9,6,0,60,40,0,0,0.093872,0.202498,81.557199,87.177041,38.049686,28.104628,9.945058,2.536646,1.873642,0.663004,10.368966,0.691264,383.59838,1,9,1,6,0,0,0,0,0.6,1,0.75,0.805556,0.6,0.6,0.4,0.4,0.36,0.6,0.45,0.8,0.531,0,0.52,0,387274,28571,24959,?,1.381693,1
